Id,Title,Description,Image,Price
1716,Оксамитовий трюфель,Ганаш з білого шоколаду зі смаком манго та цитрусових у чорносмородиновій пудрі,https://www.chocolate.lviv.ua/image.php?ch_productid=1716&maxx=230&maxy=230&fit=fitxy,20
1428,Нусвальд,"Поєднання мигдалевого праліне, чорної смородини, мигдалю та повітряного рису в білому шоколаді.Строк придатності – 60...",https://www.chocolate.lviv.ua/image.php?ch_productid=1428&maxx=230&maxy=230&fit=fitxy,25
1256,Шварцвальд,"Поєднання журавлини, мигдалю та кеш'ю в молочному шоколаді та какао.",https://www.chocolate.lviv.ua/image.php?ch_productid=1256&maxx=230&maxy=230&fit=fitxy,25
288,Кайзервальд,"Поєднання мигдалю, лісових горіхів, кеш'ю та фісташок в білому шоколаді та какао. ",https://www.chocolate.lviv.ua/image.php?ch_productid=288&maxx=230&maxy=230&fit=fitxy,25
327,Кавова імпреза,Ніжне поєднання молочно-горіхової та вершково-коньячної начинки з легким присмаком кави. ,https://www.chocolate.lviv.ua/image.php?ch_productid=327&maxx=230&maxy=230&fit=fitxy,25
1000,Бананова льоля,"Ганаш на основі білого шоколаду з додаванням пасти банану в білому шоколаді та у жовтому цукрі.
20% від продажу цього...",https://www.chocolate.lviv.ua/image.php?ch_productid=1000&maxx=230&maxy=230&fit=fitxy,19
1728,Блакитна льоля,Ганаш на основі білого шоколаду з додаванням пасти банану в білому шоколаді та у синьому цукрі (натуральний барвник...,https://www.chocolate.lviv.ua/image.php?ch_productid=1728&maxx=230&maxy=230&fit=fitxy,19
1389,Абрикосовий мармелад,"Мармелад на основі абрикосового пюре в молочному шоколаді. Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1389&maxx=230&maxy=230&fit=fitxy,19
1390,Мандариновий мармелад,"Мармелад на основі мандаринового пюре в чорному шоколаді.Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1390&maxx=230&maxy=230&fit=fitxy,19
1392,Чорносмородиновий мармелад,"Мармелад на основі пюре з чорної смородини в молочному шоколаді.Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1392&maxx=230&maxy=230&fit=fitxy,19
1355,Лимонний мармелад,"Мармелад на основі лимонного соку в чорному шоколаді. Входить до набору цукерок:""ЛАДНІ МАРМЕЛАДНІ""",https://www.chocolate.lviv.ua/image.php?ch_productid=1355&maxx=230&maxy=230&fit=fitxy,19
